"","ScientificName"
"1","Enter when no fish are caught"
"2","Hexagrammos octogrammus"
"3","Myoxocephalus polyacanthocephalus"
"4","Anoplarchus insignis"
"5","Eleginus gracilis"
"6","Gadus macrocephalus"
"7","Gasterosteus aculeatus"
"8","Hemilepidotus spinosus"
"9","Leptocottus armatus"
"10","Pholis laeta"
"11","Salvelinus malma"
"12","Clinocottus acuticeps"
"13","Platichthys stellatus"
"14","Microgadus tomcod"
"15","Pleuronectidae"
"16","Blepsias cirrhosus"
"17","Hexagrammos lagocephalus"
"18","Liparidae"
"19","Lumpenus sagitta"
"20","Oncorhynchus gorbuscha"
"21","Ammodytes hexapterus"
"22","Clupea pallasii"
"23","Cottidae"
"24","Enophrys bison"
"25","Ophiodon elongatus"
"26","Apodichthys flavidus"
"27","Lepidopsetta spp."
"28","Psettichthys melanostictus"
